courseCode,courseName,major
AFIN8018 , Investments, Applied Finance  
AFIN8037 , Capital Markets, Applied Finance  
AFIN8038 , Business Valuation, Applied Finance  
AFIN8039 , Portfolio Management, Applied Finance  
AFIN8067 , International Financial Management, Applied Finance  
AFIN8081 , Professional Development in Banking and Finance, Applied Finance  
AFIN8090 , Financial Modelling and Forecasting, Applied Finance  
AFIN8099 , Current Issues in Banking and Finance, Applied Finance  
AHIS1110 , Ancient Greek A, History and Archaeology 
AHIS1120 , Latin A, History and Archaeology 
AHIS1150 , Hieroglyphic Egyptian A, History and Archaeology 
AHIS1200 , Myth in the Ancient World, History and Archaeology 
AHIS1210 , Studying the Past from the Bronze Age to Byzantium, History and Archaeology 
AHIS1250 , Ancient Egyptian and Near Eastern Archaeology, History and Archaeology 
AHIS1300 , Digging up the Past: An Introduction to Archaeology, History and Archaeology 
AHIS1301 , World Archaeology, History and Archaeology 
AHIS2110 , Ancient Greek B, History and Archaeology 
AHIS2120 , Latin B, History and Archaeology 
AHIS2130 , Byzantium in the Age of the Emperors, History and Archaeology 
AHIS2150 , Hieroglyphic Egyptian B, History and Archaeology 
AHIS2210 , From Alexander the Great to Augustus: The Hellenistic Age , History and Archaeology 
AHIS2211 , Minos and Mycenae: The Aegean Bronze Age, History and Archaeology 
AHIS2225 , Rome and the Caesars , History and Archaeology 
AHIS2250 , Ancient Egypt: Culture and Society, History and Archaeology 
AHIS2251 , Ancient Egyptian and Near Eastern Art: Theory and Practice, History and Archaeology 
AHIS2301 , Archaeology of Death and Burial, History and Archaeology 
AHIS2302 , Archaeology and Society: Archaeological Evidence, History and Archaeology 
AHIS3000 , Capstone in Ancient History and Archaeology, History and Archaeology 
AHIS3001 , Material Culture and Museum Studies, History and Archaeology 
AHIS3005 , Cultural Heritage and Public History, History and Archaeology 
AHIS3100 , Ancient Languages Special Topic A, History and Archaeology 
AHIS3101 , Ancient Languages Special Topic B, History and Archaeology 
AHIS3110 , Ancient Greek C, History and Archaeology 
AHIS3120 , Latin C, History and Archaeology 
AHIS3150 , Hieroglyphic Egyptian C, History and Archaeology 
AHIS3201 , Women and Gender in the Ancient World, History and Archaeology 
AHIS3202 , A History of Magic: From the Magi to Merlin, History and Archaeology 
AHIS3241 , Dialogue of Cultures: Ancient Egypt and the Near East, History and Archaeology 
AHIS3251 , State Formation: Egypt and the Near East, History and Archaeology 
AHIS3302 , Laboratory Methods of Archaeology, History and Archaeology 
AHIS7001 , Advanced Studies in Ancient History and Archaeology: Material Worlds, History and Archaeology 
AHIS8000 , Capstone Advanced Project, History and Archaeology 
AHIS8210 , History Writing in Antiquity: Herodotus and Thucydides, History and Archaeology 
AHIS8211 ,404 BC, History and Archaeology 
AHIS8213 , Egypt: Alexander to Augustus, History and Archaeology 
AHIS8221 , Caravan Cities, History and Archaeology 
AHIS8230 , City of Constantine, History and Archaeology 
AHIS8252 , Egypt in the Age of Akhenaten and Tutankhamun, History and Archaeology 
AHIS8320 , Under the Shadow of Vesuvius: Archaeology in Ancient Campania, History and Archaeology 
AHIS8990 , Ancient History, History and Archaeology 
AHIX1110 , Ancient Greek A, History and Archaeology 
AHIX1120 , Latin A, History and Archaeology 
AHIX1200 , Myth in the Ancient World, History and Archaeology 
AHIX1210 , Studying the Past from the Bronze Age to Byzantium, History and Archaeology 
AHIX1250 , Ancient Egyptian and Near Eastern Archaeology, History and Archaeology 
AHIX2040 , Ancient Greek Religion, History and Archaeology 
AHIX2130 , Byzantium in the Age of the Emperors , History and Archaeology 
AHIX2210 , From Alexander the Great to Augustus: The Hellenistic Age, History and Archaeology 
AHIX2211 , Minos and Mycenae: The Aegean Bronze Age, History and Archaeology 
AHIX2225 , Rome and the Caesars , History and Archaeology 
AHIX2251 , Ancient Egyptian and Near Eastern Art: Theory and Practice, History and Archaeology 
AHIX2300 , Landscape Archaeology, History and Archaeology 
AHIX3000 , Capstone in Ancient History and Archaeology, History and Archaeology 
AHIX3001 , Material Culture and Museum Studies, History and Archaeology 
AHIX3201 , Women and Gender in the Ancient World, History and Archaeology 
AHIX3202 , A History of Magic: From the Magi to Merlin, History and Archaeology 
AHIX3241 , Dialogue of Cultures: Ancient Egypt and the Near East, History and Archaeology 
AHIX6100 , Ancient Languages Foundation, History and Archaeology 
AHIX6200 , Ancient Language Studies: Foundation in Ancient Language, History and Archaeology 
AHIX6201 , Ancient Historiographical and Historical Studies: Foundation, History and Archaeology 
AHIX6202 , Archaeological and Historical Studies: Foundation in Archaeology or History, History and Archaeology 
AHIX8000 , Capstone Advanced Project, History and Archaeology 
AHIX8210 , History Writing in Antiquity: Herodotus and Thucydides, History and Archaeology 
AHIX8211 ,404 BC, History and Archaeology 
AHIX8213 , Egypt: Alexander to Augustus, History and Archaeology 
AHIX8221 , Caravan Cities, History and Archaeology 
AHIX8230 , City of Constantine, History and Archaeology 
AHIX8252 , Egypt in the Age of Akhenaten and Tutankhamun, History and Archaeology 
AHIX8320 , Under the Shadow of Vesuvius: Archaeology in Ancient Campania, History and Archaeology 
AIHI8990 , Health Innovation, Health Innovation 
ANAT1001 , Introduction to Anatomy, Chiropractic  
ANAT1002 , Anatomy of Limbs and Back, Chiropractic  
ANAT2003 ," Anatomy of Head, Neck and Trunk", Chiropractic  
ANAT2004 , Neuroanatomy, Chiropractic  
ANAT7911 , Anatomical Dissection, Chiropractic  
ANTH1006 , Drugs Across Cultures, Social Sciences 
ANTH1007 ," Saints, Shamans, Cults and Demons: The Anthropology of Contemporary Religions", Social Sciences 
ANTH1050 , Identity and Difference: Introduction to Anthropology, Social Sciences 
ANTH1051 , Human Evolution and Diversity, Social Sciences 
ANTH2002 , Illness and Healing, Social Sciences 
ANTH2003 , Food Across Cultures, Social Sciences 
ANTH2007 , Psychological Anthropology, Social Sciences 
ANTH2008 ," Cults, \u200bSaints, and Shamans: Religion and Society", Social Sciences 
ANTH2021 , Development Studies: The Anthropology of International Aid, Social Sciences 
ANTH2024 ," Mad, Bad, Sad: Cross Cultural Perspectives", Social Sciences 
ANTH2051 , Human Evolution and Diversity, Social Sciences 
ANTH3008 , Psychological Anthropology, Social Sciences 
ANTH3010 ," Culture, Myth and Religion", Social Sciences 
ANTH3021 ," Globalisation, Conflict, and Religion", Social Sciences 
ANTH3022 ," Gender, Sexuality and Global Health", Social Sciences 
ANTH3023 , Development Studies: Poverty and Global Justice, Social Sciences 
ANTH3024 , Doing Ethnography, Social Sciences 
ANTH7000 , Core Issues in Anthropological Theory I, Social Sciences 
ANTH7001 , Core Issues in Anthropological Theory II, Social Sciences 
ANTH8015 , Development Theory and Practice, Social Sciences 
ANTH8016 ," Culture, Health and Disease", Social Sciences 
ANTH8032 , Global Health, Social Sciences 
ANTH8990 , Anthropology, Social Sciences 
ANTX1006 , Drugs Across Cultures, Social Sciences 
ANTX1051 , Human Evolution and Diversity, Social Sciences 
ANTX2002 , Illness and Healing, Social Sciences 
ANTX2007 , Psychological Anthropology, Social Sciences 
ANTX2051 , Human Evolution and Diversity, Social Sciences 
ANTX3008 , Psychological Anthropology, Social Sciences 
APFN8990 , Applied Finance,[
APPL6000 , Language Teaching Methodologies, Linguistics  
APPL6010 , Planning and Programming in TESOL, Linguistics  
APPL7020 ,related Research, Linguistics  
APPL8010 ," Genre, Discourse and Multimodality", Linguistics  
APPL8020 , Research Methods in Language Study, Linguistics  
APPL8030 , Languages and Cultures in Contact, Linguistics  
APPL8100 , Exploring Discourse in Context and Action, Linguistics  
APPL8110 , Pragmatics and Intercultural Communication, Linguistics  
APPL8120 ," Language, Learning and Community", Linguistics  
APPL8200 , Linguistics and Language Teaching, Linguistics  
APPL8220 , Practicum in TESOL, Linguistics  
APPL8230 ," Classroom, Curriculum and Context", Linguistics  
APPL8240 , Language Testing and Evaluation, Linguistics  
APPL8250 , Second Language Acquisition, Linguistics  
APPL8260 , Language Teaching and Learning Beyond the Classroom, Linguistics  
APPL8270 , Reading Development and Disorders, Linguistics  
APPL8290 , Evaluating Language Classroom Practice, Linguistics  
APPL8400 , Language for Specific Purposes, Linguistics  
APPL8410 , Literacies, Linguistics  
APPL8420 , Teaching English for Academic Purposes, Linguistics  
ARTS1000 , Humanities and the World,Owned at Faculty level 
ARTS2000 , International Exchange Experience,Owned at Faculty level 
ARTS3000 , Cultural and Social Action,Owned at Faculty level 
ARTS3100 , Governance and Resistance,Owned at Faculty level 
ARTS3500 , Arts Capstone,Owned at Faculty level 
ARTX1000 , Humanities and the World,Owned at Faculty level 
ARTX3500 , Arts Capstone,Owned at Faculty level 
ASBA8990 , Actuarial Studies and Business Analytics,Owned at Faculty level 
ASTR2020 , Observational Astronomy, Physics and Astronomy  
ASTR3010 , Astrophysics of Radiation and Stars, Physics and Astronomy  
ASTR3020 , Extragalactic Astronomy and Cosmology, Physics and Astronomy  
ASTR3110 , Data Science Techniques in Astrophysics, Physics and Astronomy  
ASTR7907 , Advanced Astrophysics, Physics and Astronomy  
ASTR7913 , Contemporary Research Techniques in Astrophysics, Physics and Astronomy  
BIOL1110 , Genes to Organisms, Biological Sciences 
BIOL1210 , Human Biology, Biological Sciences 
BIOL1310 , Organisms to Ecosystems, Biological Sciences 
BIOL1320 , Biological Basis of Behaviour, Biological Sciences 
BIOL1620 , Foundation in Medical Sciences, Biological Sciences 
BIOL2110 , Genetics, Biological Sciences 
BIOL2210 , Life Processes, Biological Sciences 
BIOL2220 , Systems Physiology, Biological Sciences 
BIOL2230 , Neurophysiology, Biological Sciences 
BIOL2310 , Diversity of Life, Biological Sciences 
BIOL2410 , Ecology, Biological Sciences 
BIOL2610 , Biological Data Analysis, Biological Sciences 
BIOL3110 , Evolutionary and Conservation Genetics, Biological Sciences 
BIOL3120 , Human Genetics and Evolutionary Medicine, Biological Sciences 
BIOL3210 , Advanced Human Physiology, Biological Sciences 
BIOL3310 , Invertebrate Biology and Behaviour, Biological Sciences 
BIOL3410 , Plant Biology, Biological Sciences 
BIOL3420 , Biodiversity and Conservation, Biological Sciences 
BIOL3440 , Aquatic Ecosystems, Biological Sciences 
BIOL3510 , Vertebrate Biology and Behaviour, Biological Sciences 
BIOL3520 , Palaeobiology, Biological Sciences 
BIOL3630 , Special Interest Topics in Biology, Biological Sciences 
BIOL3640 , PACE Experience in Biological Sciences, Biological Sciences 
BIOL3660 , Medical Sciences Capstone, Biological Sciences 
BIOL3661 , Medical Sciences Capstone, Biological Sciences 
BIOL6110 , Genetics, Biological Sciences 
BIOL6210 , Life Processes, Biological Sciences 
BIOL6310 , Diversity of Life, Biological Sciences 
BIOL6410 , Ecology, Biological Sciences 
BIOL6610 , Biological Data Analysis, Biological Sciences 
BIOL7130 , Research Skills for Biology, Biological Sciences 
BIOL7610 , Conservation and Management of Wild Populations, Biological Sciences 
BIOL7750 , Contemporary Conservation in Australia, Biological Sciences 
BIOL7760 , Climate Change Biology: Impacts and Adaptation, Biological Sciences 
BIOL7770 , Topics in Australian Marine Science, Biological Sciences 
BIOL7870 , Regional and Global Conservation, Biological Sciences 
BIOL7900 , Research Frontiers in Biology, Biological Sciences 
BIOL7910 , Research Topic in Biology 1, Biological Sciences 
BIOL7915 , Research Topic in Biology 2, Biological Sciences 
BIOL7920 , Topics in Evolution, Biological Sciences 
BIOL7925 , Biology in the 21st Century, Biological Sciences 
BIOL7935 , Advanced Research Topics in Biology, Biological Sciences 
BIOL8600 , Biology Research Experience, Biological Sciences 
BIOL8601 , Biology Research Placement, Biological Sciences 
BIOL8610 , Conservation and Management of Wild Populations, Biological Sciences 
BIOL8710 , Conservation in Practice, Biological Sciences 
BIOL8720 , Cross Institutional Study, Biological Sciences 
BIOL8750 , Contemporary Conservation in Australia, Biological Sciences 
BIOL8760 , Climate Change Biology: Impacts and Adaptation, Biological Sciences 
BIOL8770 , Topics in Australian Marine Science, Biological Sciences 
BIOL8870 , Regional and Global Conservation, Biological Sciences 
BIOL8990 , Biology, Biological Sciences 
BIOM8990 , Biomedical Science,Owned at Faculty level 
BIOX1110 , Genes to Organisms\xa0, Biological Sciences 
BIOX1210 , Human Biology, Biological Sciences 
BIOX1310 , Organisms to Ecosystems\xa0, Biological Sciences 
BIOX1320 , Biological Basis of Behaviour, Biological Sciences 
BIOX2110 , Genetics, Biological Sciences 
BIOX2210 , Life Processes, Biological Sciences 
BIOX2310 , Diversity of Life, Biological Sciences 
BIOX2610 , Biological Data Analysis, Biological Sciences 
BMOL1001 , Biomolecules, Molecular Sciences  
BMOL2201 , Biochemistry and Cell Biology, Molecular Sciences  
BMOL2401 , Microbiology and Molecular Biology, Molecular Sciences  
BMOL3201 , Advanced Biochemistry and Cell Biology, Molecular Sciences  
BMOL3202 , Macromolecules, Molecular Sciences  
BMOL3401 , Applied and Medical Microbiology, Molecular Sciences  
BMOL3402 , Molecular Biology and Genomics, Molecular Sciences  
BMOL6201 , Biochemistry and Cell Biology, Molecular Sciences  
BMOL6202 , Macromolecules, Molecular Sciences  
BMOL6231 , Advanced Biochemistry and Cell Biology, Molecular Sciences  
BMOL6401 , Microbiology and Molecular Biology, Molecular Sciences  
BMOL6432 , Molecular Biology and Genomics, Molecular Sciences  
BUSA1027 , Demographic Fundamentals, Actuarial Studies and Business Analytics  
BUSA2020 , Fundamentals of Business Analytics, Actuarial Studies and Business Analytics  
BUSA3015 , Business Forecasting, Actuarial Studies and Business Analytics  
BUSA3020 , Advanced Analytics Techniques, Actuarial Studies and Business Analytics  
BUSA3021 , Business Analytics Project, Actuarial Studies and Business Analytics  
BUSA6004 , Managing Data, Actuarial Studies and Business Analytics  
BUSA8000 , Techniques in Business Analytics, Actuarial Studies and Business Analytics  
BUSA8001 , Applied Predictive Analytics, Actuarial Studies and Business Analytics  
BUSA8031 , Business Analytics Project, Actuarial Studies and Business Analytics  
BUSA8090 , Data and Visualisation for Business, Actuarial Studies and Business Analytics  
CAUD8001 , Speech Perception and Production, Linguistics  
CAUD8002 , Adult Hearing Assessment, Linguistics  
CAUD8003 , Theoretical Bases of Audiology, Linguistics  
CAUD8004 , Clinical Practicum I, Linguistics  
CAUD8005 , Hearing Devices, Linguistics  
CAUD8006 , Objective Assessment Strategies, Linguistics  
CAUD8007 , Paediatric Hearing Assessment, Linguistics  
CAUD8008 , Clinical Practicum II, Linguistics  
CAUD8009 , Strategies of Aural Rehabilitation, Linguistics  
CAUD8010 , Advanced Hearing Devices, Linguistics  
CAUD8011 , Audiology Project, Linguistics  
CAUD8012 , Research Design Skills, Linguistics  
CAUD8013 , Clinical Practicum III, Linguistics  
CAUD8014 , Audiology and Public Health, Linguistics  
CAUD8015 , Principles of Management of Childhood Deafness, Linguistics  
CAUD8016 , Complex Case Management, Linguistics  
CAUD8017 , Clinical Practicum IV, Linguistics  
CHEM1001 , Foundations of Chemical and Biomolecular Sciences 1, Molecular Sciences  
CHEM1002 , Foundations of Chemical and Biomolecular Sciences 2, Molecular Sciences  
CHEM2201 , Analysis and Measurement, Molecular Sciences  
CHEM2401 , Physical Chemistry I, Molecular Sciences  
CHEM2601 , Synthesis, Molecular Sciences  
CHEM3201 , Advanced Analysis, Molecular Sciences  
CHEM3202 , Advanced Analysis and Measurement, Molecular Sciences  
CHEM3601 , Advanced Synthesis, Molecular Sciences  
CHEM3801 , Medicinal Chemistry, Molecular Sciences  
CHEM6201 , Analysis and Measurement, Molecular Sciences  
CHEM6231 , Advanced Analysis, Molecular Sciences  
CHEM6601 , Synthesis, Molecular Sciences  
CHEM6631 , Advanced Synthesis, Molecular Sciences  
CHEM6801 , Medicinal Chemistry, Molecular Sciences  
CHEX1001 , Foundations in Chemistry and Biomolecular Sciences 1, Molecular Sciences  
CHIN1010 , I Chinese Studies 1," Media, Communications, Creative Arts, Language and Literature "
CHIN1020 , I Chinese Studies 2," Media, Communications, Creative Arts, Language and Literature "
CHIN1210 , C Chinese Studies 3," Media, Communications, Creative Arts, Language and Literature "
CHIN1220 , C Chinese Studies 4," Media, Communications, Creative Arts, Language and Literature "
CHIN2010 , I Chinese Studies 3," Media, Communications, Creative Arts, Language and Literature "
CHIN2020 , I Chinese Studies 4," Media, Communications, Creative Arts, Language and Literature "
CHIN2052 ,Chinese Translation I," Media, Communications, Creative Arts, Language and Literature "
CHIN2053 ,English Translation I," Media, Communications, Creative Arts, Language and Literature "
CHIN2086 ,Chinese Interpreting I," Media, Communications, Creative Arts, Language and Literature "
CHIN2210 , C Chinese Studies 5," Media, Communications, Creative Arts, Language and Literature "
CHIN2220 , C Chinese Studies 6," Media, Communications, Creative Arts, Language and Literature "
CHIN3010 , I Chinese Studies 5," Media, Communications, Creative Arts, Language and Literature "
CHIN3020 , I Chinese Studies 6," Media, Communications, Creative Arts, Language and Literature "
CHIN3085 ,Chinese Translation II," Media, Communications, Creative Arts, Language and Literature "
CHIN3087 ,English Translation II," Media, Communications, Creative Arts, Language and Literature "
CHIN3088 ,Chinese Interpreting II," Media, Communications, Creative Arts, Language and Literature "
CHIR1101 , Chiropractic Sciences 1, Chiropractic  
CHIR1102 , Chiropractic Sciences 2, Chiropractic  
CHIR2103 , Chiropractic Sciences 3, Chiropractic  
CHIR2104 , Chiropractic Sciences 4, Chiropractic  
